"2002","Mark Knowles   Daniel Nestor","Mahesh Bhupathi   Max Mirnyi","6-3, 5-7, 6-0"
"2003","Mahesh Bhupathi  Max Mirnyi","Wayne Black   Kevin Ullyett","6-2, 2-6, 6-3"
"2004","Mark Knowles   Daniel Nestor","Bob Bryan   Mike Bryan","6-3, 6-4"
"2005","Mark Knowles   Daniel Nestor","Leander Paes   Nenad Zimonjić","3-6, 6-3, 6-2"
"2006","Bob Bryan   Mike Bryan","Mark Knowles   Daniel Nestor","7-5, 6-4"
"2007","Bob Bryan   Mike Bryan","Mariusz Fyrstenberg   Marcin Matkowski","6-3, 7-6"
"2008","Mariusz Fyrstenberg   Marcin Matkowski","Mahesh Bhupathi   Mark Knowles","6-4, 6-2"
"2009","Daniel Nestor   Nenad Zimonjić","Simon Aspelin   Wesley Moodie","5-7, 6-2, [14-12]"
"2010","Bob Bryan   Mike Bryan","Daniel Nestor   Nenad Zimonjić","6-3, 6-4"
"2011","Bob Bryan   Mike Bryan","Michael Llodra   Nenad Zimonjić","6-3, 6-3"
"2012","Mariusz Fyrstenberg   Marcin Matkowski","Robert Lindstedt   Horia Tecau","6-3, 6-4"
"2013","Bob Bryan   Mike Bryan","Alexander Peya  Bruno Soares","6-2, 6-3"
"2014","Daniel Nestor   Nenad Zimonjić","Bob Bryan  Mike Bryan","6-4, 6-2"
"2015","Rohan Bopanna   Florin Mergea","Marcin Matkowski  Nenad Zimonjić","6-2, 6-7(5), [11-9]"
"2016","Jean-Julien Rojer  Horia Tecău","Rohan Bopanna Florin Mergea","6-4, 7-6(5)"
"2017","Łukasz Kubot  Marcelo Melo","Nicolas Mahut Édouard Roger-Vasselin","7-5, 6-3"
"2018","Nikola Mektić  Alexander Peya","Bob Bryan Mike Bryan","5-3, ret."
"2019","Jean-Julien Rojer  Horia Tecău","Diego Schwartzman Dominic Thiem","6-2, 6-3"
